program,summary_description,program_description,geography,legislation,topic,subtopic,building_blocks,racf_categories,flexible_fund, allocation ,spent,amount_exact,percent_spent,agency,source,source_url,current_as_of,expiration,is_expired,notes,Tina's notes
Buy the Block - Greenlining for a Better Rochester,,"New construction of homes for income-eligible, first-time homeowners on vacant lots in Rochester's fomer 'redlined' neighborhoods.",Rochester,ARPA State and Local Fiscal Recovery Funds,Housing,Homeownership Supports,Create opportunities for low-wealth households to build wealth,Partnering Against Poverty,Yes,"$13,329,862 ","$7,084 ",1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Rochester Land Bank Acquisition/Rehab Program,,Rochester Land Bank initiatve focused on the creation home-ownership for low-moderate income residents. The program focuses on medium to large scale development parnters acquiring and rehabbing homes in challenged neighborhoods and/or targeted neighborhoods where other development is taking place.,Rochester,ARPA State and Local Fiscal Recovery Funds,Housing,Homeownership Supports,Create opportunities for low-wealth households to build wealth,Partnering Against Poverty,Yes,"$2,400,000 ",$0 ,1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Veteran Housing and Services Project (VHSP),,Renovation of transitional housing complex for homeless and low-income male veterans.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Housing,,Stabilize housing and expand affordable housing,Partnering Against Poverty,Yes,"$1,974,500 ",,1,,"Veterans Outreach Center, Inc. ",Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v17,12/22/2022,,,,
Monroe County Land Bank,,"Partnership with The City of Rochester to expand the City’s existing land bank to incorporate the twenty nine suburban towns and villages within Monroe County. creation/ enhancement of a website, legal expenses, planning studies and acquisition and/or demolition of property.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Housing,,Stabilize housing and expand affordable housing,,Yes,"$1,000,000 ",,1,,Monroe County Department of Planning,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v18,12/22/2022,,,,
Information Technology Network Initiatives,,Replacement of outdated network infrastructure and technology that support core City functions.,Rochester,ARPA State and Local Fiscal Recovery Funds,Infrastructure,IT,,,Yes,"$3,134,000 ","$1,669,194 ",1,,Information Technology,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Lead Service Replacement,,"Replacement of a portion of the city's lead, lead-lined and galvanized water services to remove any possible sources of lead contamination and complete associated street work.",Rochester,ARPA State and Local Fiscal Recovery Funds,Infrastructure,Water,Reinvest in disinvested communities,Advancing Environmental Justice and Sustainability,Yes,"$37,315,000 ","$4,858,376 ",1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
State Street Reconstruction - Water Infrastructure,,"Pavement reconstruction and water infrastructure improvements that will enhance traffic safety and efficiency and improve the riding quality of the roadway, accessibility, and streetscape.",Rochester,ARPA State and Local Fiscal Recovery Funds,Infrastructure,Water,,,Yes,"$2,000,000 ","$2,000,000 ",1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Parking Garage Improvements,,Repairs and supplemental structural support within the South Avenue and Stone Street Wings of the South Avenue Garage.,Rochester,ARPA State and Local Fiscal Recovery Funds,Infrastructure,,,,Yes,"$2,000,000 ","$676,746 ",1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Central Library - Rundel Building Exterior Improvements,,"Repair, restoration and reconstruction of exterior parapets, limestone and brick masonry, historic windows, and structural framing systems for the east, south and north facades, and repairs to the adjacent east terrace.",Rochester,ARPA State and Local Fiscal Recovery Funds,Infrastructure,,,Preserving Historical Assets,Yes,"$8,700,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Infrastructure or CED?,
Accounting & Compliance Technical Assistance,,"External consulting expertise and administrative support for ARPA compliance, reporting and project management.",Rochester,ARPA State and Local Fiscal Recovery Funds,Operations,ARPA Administration,,,Yes,"$175,000 ","$100,106 ",1,,Administration,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Parking Fund Revenue Replacement,,Replacement of lost government revenues due to the pandemic. Funds will be utilized to support continuation of government services.,Rochester,ARPA State and Local Fiscal Recovery Funds,Operations,Government Revenue,,,Yes,"$8,376,500 ","$5,000,000 ",1,,Finance,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
General Fund Revenue Replacement,,Replacement of lost government revenues due to the pandemic. Funds will be utilized to support continuation of government services.,Rochester,ARPA State and Local Fiscal Recovery Funds,Operations,Government Revenue,,,Yes,"$5,623,500 ",$0 ,1,,Varies,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Cybersecurity Improvements,,"The funds will be used to implement new network security hardware and licenses, enhance the City's cybersecurity operations center, procure outside assessment of the cybersecurity program and practices, increase security training, and expand and improve external vulnerability scanning.",Rochester,ARPA State and Local Fiscal Recovery Funds,Operations,Technology,,,Yes,"$144,000 ",$0 ,1,,Information Technology,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Accounts Receivable Enterprise Solution,,"ARPA funding will be used to procure and implement an enterprise Accounts Receivable and Utility Billing software solution. The new solution will include enhanced workflow and processing capabilities to improve the efficiency of operations, as well as offering enhanced online billing and payment functionality for customers to access invoices, make on-line payments, view payment history, and submit service requests.",Rochester,ARPA State and Local Fiscal Recovery Funds,Operations,Technology,,,Yes,"$1,875,000 ",$0 ,1,,Administration,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Arpa-funded Employee Benefits,,"Several ARPA-funded projects included funding for staffing necessary to implement the program or service. These expenses are included within a project's ""total appropriation,"" however it is the City's practice to account for the employee wages within the implementing department and the employee fringe benefit expenses within the Department of Undistributed Expenses.",Rochester,ARPA State and Local Fiscal Recovery Funds,Operations,,,,Yes,$0 ,"$125,068 ",1,,Undistributed Expenses,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Making Meaningful Community Change ,,Doula program to prevent black maternal and infant mortality as well as a 15-week mentoring and educational course for fathers (with a focus on previously incarcerated individuals).,Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Childbirth,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$2,200,000 ",,1,,Healthy Baby Network,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v22,12/22/2022,,,,
Holistic Maternal and Infant Care ,,Creation of one stop location for healthy birthing services supporting underserved communities.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Childbirth,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$4,000,000 ",,1,,Monroe County Public Health/ DHS,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v26,12/22/2022,,,,
Covid Vaccination Incentive Program,,"Incentivize COVID vaccination and booster shots for the City's workforce to protect the health of employees' families, friends, and neighbors as well as city residents who visit City Hall and other City workplaces.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,COVID-19,,,Yes,"$355,000 ","$160,600 ",1,,Human Resource Management,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Health Care Workforce Resiliency Program,,"Provision of career exploration, employment skills training, and support services for entry-level healthcare workers.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Healthcare,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$500,000 ",$0 ,1,,Recreation and Human Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
"Healthcare Transformation through Education, Outreach, and Engagement",,Eliminating barriers to healthcare for underrepresented communities:  infrastructure improvements and comprehensive training for health care professionals. Proposal includes a new van to provide access and services directly to residents in neighborhoods with the most need.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Healthcare,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$2,758,595 ",,1,,St. Joseph’s Neighborhood Center,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v19,12/22/2022,,,,
"R-Centers Health, Wellness, and Social Emotional Programming",,"Youth and families within the city of Rochester have been struggling with how to navigate the many thoughts and feelings that accompany the trauma associated with the COVID pandemic, from the increase in violence, to the isolation experienced during key developmental years. The City will utilize ARPA funding to partner with one or multiple agencies to provide professional social-emotional, health and wellness supports and programming to the youth and families that attend R-Centers.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Mental Health,Reinvest in disinvested communities,,Yes,"$2,000,000 ",$0 ,1,,Recreation and Human Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Enhanced Access to Behavioral Health and Medical Care for All Rochester City School District Students,,Collaborative project with RCSD that would create 8 school-based mental health clinics and establish telehealth infrastructure.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Mental Health,Reinvest in disinvested communities,,Yes,"$1,000,000 ",,1,,Department of Pediatrics UR Medicine and Rochester Regional Health,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v20,12/22/2022,,,,
Baden Street Settlement: Convening to Fill Mental Health Service Gaps for Black and Latinx Community Members,,Renovation of facilities at Baden Street to add a Mental Health clinic specializing in BIPOC communities.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Mental Health,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$4,000,000 ",,1,,"Baden Street Settlement of Rochester, Inc",Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v21,12/22/2022,,,,
Project ACCESS,,"Wraparound health services for underrepresented and minority communities (LGBTQ+, BIPOC, homeless) including a Mobile Access Clinic, Syringe Exchange Program and a Food Cupboard.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Wraparound Services,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$4,908,546 ",,1,,Trillium Health,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v23,12/22/2022,,,,
"Improving Older Adults’ Health, Safety and Economic Recovery Through Community-based Aging Services and Healthcare Integration",,"Wraparound services and support for seniors to enhance access to healthcare: LPNs will coordinate transportation and attend medical appointments with older adults, facilitate telehealth, arrange pharmacy delivery and schedule preventative health care screens and vaccinations.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,Wraparound Services,,Promoting Successful Aging,Yes,"$800,000 ",,1,,Lifespan of Greater Rochester,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v24,12/22/2022,,,,
Healthy Food Accessibility Loan and Grant Program,,"Funding will be used to invest in city-based businesses to expand healthy food access, attract new  healthy food retail businesses to target areas, and implement innovative, alternative food retail models.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,,Create jobs for residents hardest hit by the pandemic or who face the greatest barriers to employment,,Yes,"$5,000,000 ",$0 ,1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Health and Wellness Program,,"Health & Wellness Program creates a long-term framework that supports and recognizes the critical linkages between community wellness, mental health, and public safety.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Health and COVID-19 Response,,,,Yes,"$3,502,000 ",,1,,Monroe County Sheriff,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v25,12/22/2022,,,,
Peacemaker Fellowship,,The Peacemaker Fellowship is a transformative mentoring program that enrolls the highest risk individuals in a personalized and structured cohort for an 18-month period. The model has been effective in bridging the gap between anti-violence programming such as outreach and breaking the cycle for the hard to reach populations at the center of violence in urban areas.,Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Community Anti-Violence Programming,,,Yes,"$2,605,625 ","$372,514 ",1,,Recreation and Human Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Rochester Peace Collective,,The Rochester Peace Collective will provide funding to community-based organizations to work collaboratively and in close alignment with the City to prevent violence.,Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Community Anti-Violence Programming,,,Yes,"$5,000,000 ",$0 ,1,,Administration,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Promoting A Community Transformation: Nonviolence Project (PACT: Nonviolence Project),,"Services for youth (aged 10-20) at risk of gun violence including housing, transition advocacy services and a Justice Peer Program with adult mentors who have experience in the juvenile legal system.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Safety,Community Anti-Violence Programming,Reinvest in disinvested communities,,Yes,"$3,879,996 ",,1,,Center for Community Alternatives,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v28,12/22/2022,,,,
Cure Violence,,"Approaches violence with the understanding that violence is an epidemic process that can be stopped using the same evidence-based, public health strategies employed to fight epidemics such as COVID-19, AIDS and Tuberculosis",Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Safety,Community Anti-Violence Programming,,,Yes,"$4,200,000 ",,1,,Monroe County Public Health,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v29,12/22/2022,,,,
Project JEDI,,Procure a subject matter expert (SME) on recruitment and retainment of a diverse workforce within the Department of Public Safety,Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Safety,Department of Public Safety,,,Yes,"$710,000 ",,1,,Monroe County Public Safety,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v31,12/22/2022,,,,
Broad and Allen Firehouse Renovation,,The Broad and Allen Firehouse Renovation Project will renovate the existing kitchen and exhaust hood with a code compliant exhaust hood and fire suppression system.,Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Firehouses,,,Yes,"$162,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Firehouses - move to public safety?,
Firehouse Needs Assessment Study,,Firehouses are on average 70 years old. Funds will be used to make capital improvements to accommodate the response model an dworkforce diversity that has changed significantly in the years since many of these facilities were designed and constructed.,Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Firehouses,,,Yes,"$250,000 ","$75,823 ",1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Firehouses - move to public safety?,
Firehouse Renovations - Genesee Firehouse,,"The Rochester firehouses are on average 70 years old, with the majority built between 1950 and 1965. Funds will be used to make capital improvements to accomodat the RFD response model and workforce diversity that has changed significantly in the years since many of these facilities were designed and constructed.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Firehouses,,,Yes,"$340,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Firehouses - move to public safety?,
Firehouse Renovations - Multi-Site Projects,,"Firehouses are on average 70 years old. Funds will be used for repairs at various firehouses including but not limited to, site paving at multiple firehouses to maintain and improve truck access to the apparatus bays.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Firehouses,,,Yes,"$400,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Firehouses - move to public safety?,
Firehouse Renovations - Broad And Allen Firehouse,,"Firehouses are on average 70 years old. Funds will be utilized to make capital imporvements to accommodate the response model and workforce diversity that has changed significantly in the many years since many of these facilities were designed and constructed. Renovations will include, but are not limited to, addition of gender neutral facilities, building system repairs and replacements, and code compliance and site upgrades at critical, high priority facilities.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Firehouses,,,Yes,"$4,000,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Firehouses - move to public safety?,
Firehouse Renovations - Goodman Firehouse,,"Firehouses are on average 70 years old. Funds will be utilized to make capital imporvements to accommodate the response model and workforce diversity that has changed significantly in the many years since many of these facilities were designed and constructed. Renovations will include, but are not limited to, addition of gender neutral facilities, building system repairs and replacements, and code compliance and site upgrades at critical, high priority facilities.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Firehouses,,,Yes,"$4,000,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Firehouses - move to public safety?,
Firehouse Renovations - University Avenue Firehouse,,"Firehouses are on average 70 years old. Funds will be utilized to make capital imporvements to accommodate the response model and workforce diversity that has changed significantly in the many years since many of these facilities were designed and constructed. Renovations will include, but are not limited to, addition of gender neutral facilities, building system repairs and replacements, and code compliance and site upgrades at critical, high priority facilities.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Firehouses,,,Yes,"$400,000 ",$0 ,1,,Environmental Services,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,Firehouses - move to public safety?,
Rochester Police Department Office of Business Intelligence,,"Expansion of the RPD Office of Business Intelligence staffing to develop necessary business processes, manage data workflow, create analytical products and upgrade the existing Open Data Portal.",Rochester,ARPA State and Local Fiscal Recovery Funds,Public Safety,Police Department,,,Yes,"$2,587,200 ","$94,464 ",1,,Police,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Mt. Olivet Baptist Church Active Shooter Preventive Action Plan,,"Security measures to fortify the church (lighting, security film for windows, safe rooms etc.) as well as active shooter training.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Safety,,,,Yes,"$417,225 ",,1,,Mt. Olivet Baptist Church,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v27,12/22/2022,,,,
Youth and Police Initiative,,"Bring together neighborhood teens with beat officers who patrol their streets.  Over the course of 7 sessions-- including a graduation ceremony and one follow-up on line reunion—youth participants and local police officers engage in discussions, games, and role plays to build their public speaking and facilitation skills, get to know each other on a personal level, and learn from each other.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Public Safety,,,,Yes,"$500,000 ",,1,,Monroe County Public Safety,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v30,12/22/2022,,,,
Deaf Refugee Advocacy Community Connections,,"Deaf Refugee Advocacy Community Connections will provide ASL and English workshops, soft skills education, financial literacy courses, independent living skills programs, technical competencies coaching and workforce development training.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,Deaf Services,Connect residents to jobs and economic opportunities,,Yes,"$2,000,000 ",,1,,Deaf Refugee Advocacy,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v32,12/22/2022,,,,
Door of Hope,,Wraparound services for individuals and families fleeing domestic violence or human trafficking who may be  deaf or hard of hearing.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,Deaf Services,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$2,087,808 ",,1,,Providence Housing Development Corporation,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v40,12/22/2022,,,,
